Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Tobacco,CAR,Abra,1400100000,,,,,,0.29020542,
Tobacco,CAR,Apayao,1408100000,,,,,,,
Tobacco,CAR,Benguet,1401100000,,,,,,,
Tobacco,CAR,Ifugao,1402700000,,,,,,1.92307692,
Tobacco,CAR,Kalinga,1403200000,,,,,,2.15000000,
Tobacco,CAR,Mountain Province,1404400000,,,,,,0.95000000,
Tobacco,Region I,Ilocos Norte,0102800000,,,,,,1.85352829,1.99943463
Tobacco,Region I,Ilocos Sur,0102900000,,,,,,0.95554454,1.17404184
Tobacco,Region I,La Union,0103300000,,,,,,1.13254086,0.61713439
Tobacco,Region I,Pangasinan,0105500000,,,,,,1.96764781,2.04455180
Tobacco,Region II,Batanes,0200900000,,,,,,,
Tobacco,Region II,Cagayan,0201500000,,,,,,0.96548415,0.23435897
Tobacco,Region II,Isabela,0203100000,,,,,,1.82799564,1.01247674
Tobacco,Region II,Nueva Vizcaya,0205000000,,,,,,2.22033898,3.70000000
Tobacco,Region II,Quirino,0205700000,,,,,,0.02431477,0.00000000
Tobacco,Region III,Aurora,0307700000,,,,,,,
Tobacco,Region III,Bataan,0300800000,,,,,,,
Tobacco,Region III,Bulacan,0301400000,,,,,,,
Tobacco,Region III,Nueva Ecija,0304900000,,,,,,,
Tobacco,Region III,Pampanga,0305400000,,,,,,,
Tobacco,Region III,Tarlac,0306900000,,,,,,0.30160000,0.37120000
Tobacco,Region III,Zambales,0307100000,,,,,,,
Tobacco,Region IV-A,Batangas,0401000000,,,,,,,
Tobacco,Region IV-A,Cavite,0402100000,,,,,,,
Tobacco,Region IV-A,Laguna,0403400000,,,,,,,
Tobacco,Region IV-A,Quezon,0405600000,,,,,,,
Tobacco,Region IV-A,Rizal,0405800000,,,,,,,
Tobacco,MIMAROPA,Marinduque,1704000000,,,,,,,
Tobacco,MIMAROPA,Occidental Mindoro,1705100000,,,,,,,
Tobacco,MIMAROPA,Oriental Mindoro,1705200000,,,,,,,
Tobacco,MIMAROPA,Palawan,1705300000,,,,,,,
