Commodity,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Ubi [Greater yam],CORDILLERA ADMINISTRATIVE REGION (CAR),Abra,1400100000,0.00,0.00,0.00,0.00,54.55,7.27,0.00
Ubi [Greater yam],CORDILLERA ADMINISTRATIVE REGION (CAR),Apayao,1408100000,3.53,4.00,4.31,4.50,3.34,3.41,0.00
Ubi [Greater yam],CORDILLERA ADMINISTRATIVE REGION (CAR),Benguet,1401100000,5.86,6.31,6.43,11.19,20.35,21.18,0.00
Ubi [Greater yam],CORDILLERA ADMINISTRATIVE REGION (CAR),Ifugao,1402700000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ubi [Greater yam],CORDILLERA ADMINISTRATIVE REGION (CAR),Kalinga,1403200000,2.65,3.00,3.63,3.67,2.20,2.06,0.00
Ubi [Greater yam],CORDILLERA ADMINISTRATIVE REGION (CAR),Mountain Province,1404400000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ubi [Greater yam],REGION I (ILOCOS REGION),Ilocos Norte,0102800000,6.22,6.38,6.48,6.38,6.29,4.39,0.00
Ubi [Greater yam],REGION I (ILOCOS REGION),Ilocos Sur,0102900000,5.23,4.91,4.84,3.69,3.10,3.19,0.00
Ubi [Greater yam],REGION I (ILOCOS REGION),La Union,0103300000,18.71,19.28,19.21,19.01,18.40,19.78,0.00
Ubi [Greater yam],REGION I (ILOCOS REGION),Pangasinan,0105500000,0.00,0.00,0.00,2.65,2.70,2.80,0.00
Ubi [Greater yam],REGION II (CAGAYAN VALLEY),Batanes,0200900000,5.82,5.80,5.85,5.63,4.71,4.73,0.00
Ubi [Greater yam],REGION II (CAGAYAN VALLEY),Cagayan,0201500000,4.95,5.12,5.25,5.26,5.14,5.10,0.00
Ubi [Greater yam],REGION II (CAGAYAN VALLEY),Isabela,0203100000,6.27,6.28,5.80,5.51,4.84,2.52,0.00
Ubi [Greater yam],REGION II (CAGAYAN VALLEY),Nueva Vizcaya,0205000000,6.42,6.30,6.49,7.60,6.50,6.80,0.00
Ubi [Greater yam],REGION II (CAGAYAN VALLEY),Quirino,0205700000,8.14,7.57,7.90,7.87,7.98,7.47,0.00
Ubi [Greater yam],REGION III (CENTRAL LUZON),Aurora,0307700000,1.74,1.60,1.15,1.04,0.13,2.46,0.00
Ubi [Greater yam],REGION III (CENTRAL LUZON),Bataan,0300800000,6.73,5.95,5.19,2.52,2.73,2.96,0.00
Ubi [Greater yam],REGION III (CENTRAL LUZON),Bulacan,0301400000,13.06,13.61,15.37,7.41,0.62,14.21,0.00
Ubi [Greater yam],REGION III (CENTRAL LUZON),Nueva Ecija,0304900000,7.09,4.99,5.05,4.75,0.00,0.00,0.00
Ubi [Greater yam],REGION III (CENTRAL LUZON),Pampanga,0305400000,2.54,2.56,2.56,2.53,1.71,1.71,0.00
Ubi [Greater yam],REGION III (CENTRAL LUZON),Tarlac,0306900000,4.82,5.53,7.07,5.88,6.25,4.31,0.00
Ubi [Greater yam],REGION III (CENTRAL LUZON),Zambales,0307100000,5.16,5.20,5.12,4.30,5.94,5.14,0.00
Ubi [Greater yam],REGION IV-A (CALABARZON),Batangas,0401000000,12.27,13.51,13.34,8.05,4.84,4.27,0.00
Ubi [Greater yam],REGION IV-A (CALABARZON),Cavite,0402100000,5.00,5.78,6.55,5.47,4.42,4.88,0.00
Ubi [Greater yam],REGION IV-A (CALABARZON),Laguna,0403400000,6.82,6.82,7.29,14.31,2.12,2.88,0.00
Ubi [Greater yam],REGION IV-A (CALABARZON),Quezon,0405600000,6.94,7.43,7.10,7.14,7.28,7.30,0.00
Ubi [Greater yam],REGION IV-A (CALABARZON),Rizal,0405800000,0.00,0.00,0.00,1.00,1.20,2.43,0.00
Ubi [Greater yam],MIMAROPA REGION,Marinduque,1704000000,3.53,3.66,3.63,3.70,2.28,2.53,0.00
Ubi [Greater yam],MIMAROPA REGION,Occidental Mindoro,1705100000,6.84,7.68,8.31,5.90,3.02,4.19,0.00
Ubi [Greater yam],MIMAROPA REGION,Oriental Mindoro,1705200000,1.12,0.89,0.73,0.62,0.54,0.50,0.00
Ubi [Greater yam],MIMAROPA REGION,Palawan,1705300000,4.84,5.66,6.12,3.94,2.73,2.00,0.00
Ubi [Greater yam],MIMAROPA REGION,City of Puerto Princesa,1731500000,0,0,0,0,0,0,0.00
Ubi [Greater yam],MIMAROPA REGION,Romblon,1705900000,7.55,7.67,8.05,7.85,8.86,9.33,0.00
Ubi [Greater yam],REGION V (BICOL REGION),Albay,0500500000,6.88,7.48,6.45,5.61,5.17,3.54,0.00
Ubi [Greater yam],REGION V (BICOL REGION),Camarines Norte,0501600000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
