Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Dragon fruit,CAR,Abra,1400100000,,,,,,0.00327966,0
Dragon fruit,CAR,Apayao,1408100000,,,,,,0.00051364,0
Dragon fruit,CAR,Benguet,1401100000,,,,,,0.01295438,0
Dragon fruit,CAR,Ifugao,1402700000,,,,,,0.00408431,0
Dragon fruit,CAR,Kalinga,1403200000,,,,,,0.02066489,0
Dragon fruit,CAR,Mountain Province,1404400000,,,,,,0.00061164,0
Dragon fruit,Region I,Ilocos Norte,0102800000,,,,,,0.00342456,0.00001872
Dragon fruit,Region I,Ilocos Sur,0102900000,,,,,,0.00468154,0.00003063
Dragon fruit,Region I,La Union,0103300000,,,,,,0.00329573,0.00018293
Dragon fruit,Region I,Pangasinan,0105500000,,,,,,0.00088695,0
Dragon fruit,Region II,Batanes,0200900000,,,,,,0.00030682,0
Dragon fruit,Region II,Cagayan,0201500000,,,,,,0.00207978,0.00007496
Dragon fruit,Region II,Isabela,0203100000,,,,,,0.00310124,0.00004174
Dragon fruit,Region II,Nueva Vizcaya,0205000000,,,,,,0.00079971,0.0000019
Dragon fruit,Region II,Quirino,0205700000,,,,,,0.00465217,0
Dragon fruit,Region III,Aurora,0307700000,,,,,,0.00058688,0
Dragon fruit,Region III,Bataan,0300800000,,,,,,0.00340314,0.0010989
Dragon fruit,Region III,Bulacan,0301400000,,,,,,0.00540235,0.00046583
Dragon fruit,Region III,Nueva Ecija,0304900000,,,,,,0.00065678,0
Dragon fruit,Region III,Pampanga,0305400000,,,,,,0.0176185,0.01397554
Dragon fruit,Region III,Tarlac,0306900000,,,,,,0.01179487,0
Dragon fruit,Region III,Zambales,0307100000,,,,,,0.00002493,0
Dragon fruit,Region IV-A,Batangas,0401000000,,,,,,0.00073045,0.00004872
Dragon fruit,Region IV-A,Cavite,0402100000,,,,,,0.00171983,0.00042333
Dragon fruit,Region IV-A,Laguna,0403400000,,,,,,0.00163654,0.0000459
Dragon fruit,Region IV-A,Quezon,0405600000,,,,,,0.00212857,0.00060554
Dragon fruit,Region IV-A,Rizal,0405800000,,,,,,0.00191817,0
Dragon fruit,MIMAROPA,Marinduque,1704000000,,,,,,,
Dragon fruit,MIMAROPA,Occidental Mindoro,1705100000,,,,,,0.00006944,0
Dragon fruit,MIMAROPA,Oriental Mindoro,1705200000,,,,,,0.00013358,0.00005595
Dragon fruit,MIMAROPA,Palawan,1705300000,,,,,,0.00121212,0.00078431
Dragon fruit,MIMAROPA,Romblon,1705900000,,,,,,0.00104776,0.00077778
Dragon fruit,MIMAROPA,City of Puerto Princesa,1731500000,,,,,,,0.03166667
Dragon fruit,Region V,Albay,0500500000,,,,,,0.00016977,0
Dragon fruit,Region V,Camarines Norte,0501600000,,,,,,,0.01666667
Dragon fruit,Region V,Camarines Sur,0501700000,,,,,,0.00114167,0.00013667
Dragon fruit,Region V,Catanduanes,0502000000,,,,,,0.035875,0
Dragon fruit,Region V,Masbate,0504100000,,,,,,0.00604621,0.0021238
Dragon fruit,Region V,Sorsogon,0506200000,,,,,,0.00004317,0
Dragon fruit,Region VI,Aklan,0600400000,,,,,,0.0048374,0.00136856
Dragon fruit,Region VI,Antique,0600600000,,,,,,0.00205,0.00067097
Dragon fruit,Region VI,Capiz,0601900000,,,,,,0.00057642,0.00036
Dragon fruit,Region VI,Guimaras,0607900000,,,,,,0.00125521,0.0000184
Dragon fruit,Region VI,Iloilo,0603000000,,,,,,0.00076043,0.00006897
Dragon fruit,NIR,Negros Occidental,1804500000,,,,,,,
Dragon fruit,NIR,Negros Occidental,1804500000,,,,,,0.00412924,0.00002994
Dragon fruit,NIR,Negros Oriental,1804600000,,,,,,0.0010016,0
Dragon fruit,NIR,Siquijor,1806100000,,,,,,0.0001987,0.0000604
Dragon fruit,NIR,City of Bacolod,1830200000,,,,,,,
Dragon fruit,Region VII,Bohol,0701200000,,,,,,0.00045613,0.00001607
Dragon fruit,Region VII,Cebu,0702200000,,,,,,0.00367167,0.0005
Dragon fruit,NIR,Negros Oriental,1804600000,,,,,,,
Dragon fruit,NIR,Siquijor,1806100000,,,,,,,
Dragon fruit,Region VIII,Biliran,0807800000,,,,,,0.00847561,0.00097561
Dragon fruit,Region VIII,Eastern Samar,0802600000,,,,,,0.0005593,0
Dragon fruit,Region VIII,Leyte,0803700000,,,,,,0.00071875,0.00054688
Dragon fruit,Region VIII,Northern Samar,0804800000,,,,,,0.0087381,0
Dragon fruit,Region VIII,Samar,0806000000,,,,,,0.00060563,0
Dragon fruit,Region VIII,Southern Leyte,0806400000,,,,,,0.00377174,0.01065217
Dragon fruit,Region IX,Sulu,0906600000,,,,,,,
Dragon fruit,Region IX,Zamboanga del Norte,0907200000,,,,,,0.0001419,0.00018944
Dragon fruit,Region IX,Zamboanga del Sur,0907300000,,,,,,0.00091418,0.00057059
Dragon fruit,Region IX,Zamboanga Sibugay,0908300000,,,,,,0,0
Dragon fruit,Region IX,City of Zamboanga,0907400000,,,,,,0,0
Dragon fruit,Region X,Bukidnon,1001300000,,,,,,0.00272732,0.00081937
Dragon fruit,Region X,Camiguin,1001800000,,,,,,0.00690833,0.00066667
Dragon fruit,Region X,Lanao del Norte,1003500000,,,,,,0.00862464,0.00092655
Dragon fruit,Region X,Misamis Occidental,1004200000,,,,,,0.01020556,0.00062222
Dragon fruit,Region X,Misamis Oriental,1004300000,,,,,,0.00518893,0.00003
Dragon fruit,Region XI,Davao de Oro,1108200000,,,,,,,
Dragon fruit,Region XI,Davao del Norte,1102300000,,,,,,0.00016667,0.00006667
Dragon fruit,Region XI,Davao del Sur,1102400000,,,,,,0.00274286,0
Dragon fruit,Region XI,Davao Occidental,1108600000,,,,,,,
Dragon fruit,Region XI,Davao Oriental,1102500000,,,,,,0.00025599,0.00000599
Dragon fruit,Region XI,City of Davao,1130700000,,,,,,0.00219048,0.00571429
Dragon fruit,Region XII,Cotabato,1204700000,,,,,,0.00045233,0.00032558
Dragon fruit,Region XII,Sarangani,1208000000,,,,,,0.00089548,0.00016211
Dragon fruit,Region XII,Sultan Kudarat,1206500000,,,,,,0.00074848,0.00007188
Dragon fruit,Region XII,South Cotabato,1206300000,,,,,,0.00108017,0.00035714
Dragon fruit,Region XIII,Agusan del Norte,1600200000,,,,,,0.00065455,0.00094286
Dragon fruit,Region XIII,Agusan del Sur,1600300000,,,,,,0.00286064,0.00669903
Dragon fruit,Region XIII,Dinagat Islands,1608500000,,,,,,0.00034204,0
Dragon fruit,Region XIII,Surigao del Norte,1606700000,,,,,,0.0012711,0
Dragon fruit,Region XIII,Surigao del Sur,1606800000,,,,,,,
Dragon fruit,Region XIII,City of Butuan,1630400000,,,,,,,0
Dragon fruit,BARMM,Basilan,1900700000,,,,,,,
Dragon fruit,BARMM,Lanao del Sur,1903600000,,,,,,,
Dragon fruit,BARMM,Maguindanao,1908800000,,,,,,,
Dragon fruit,BARMM,Maguindanao del Norte,1908700000,,,,,,,
Dragon fruit,BARMM,Maguindanao del Sur,1908800000,,,,,,,
Dragon fruit,Region IX,Sulu,0906600000,,,,,,,
Dragon fruit,BARMM,Tawi-tawi,1907000000,,,,,,,
