Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Pili,CAR,Abra,1400100000,,,,,,,
Pili,CAR,Apayao,1408100000,,,,,,,
Pili,CAR,Benguet,1401100000,,,,,,,
Pili,CAR,Ifugao,1402700000,,,,,,,
Pili,CAR,Kalinga,1403200000,,,,,,,
Pili,CAR,Mountain Province,1404400000,,,,,,,
Pili,Region I,Ilocos Norte,0102800000,,,,,,,
Pili,Region I,Ilocos Sur,0102900000,,,,,,,
Pili,Region I,La Union,0103300000,,,,,,,
Pili,Region I,Pangasinan,0105500000,,,,,,,
Pili,Region II,Batanes,0200900000,,,,,,,
Pili,Region II,Cagayan,0201500000,,,,,,,
Pili,Region II,Isabela,0203100000,,,,,,0.00250000,0.00000000
Pili,Region II,Nueva Vizcaya,0205000000,,,,,,,
Pili,Region II,Quirino,0205700000,,,,,,,
Pili,Region III,Aurora,0307700000,,,,,,0.00000000,0.00358974
Pili,Region III,Bataan,0300800000,,,,,,,
Pili,Region III,Bulacan,0301400000,,,,,,,
Pili,Region III,Nueva Ecija,0304900000,,,,,,,
Pili,Region III,Pampanga,0305400000,,,,,,,
Pili,Region III,Tarlac,0306900000,,,,,,,
Pili,Region III,Zambales,0307100000,,,,,,,
Pili,Region IV-A,Batangas,0401000000,,,,,,0.00000000,0.00000000
Pili,Region IV-A,Cavite,0402100000,,,,,,,
Pili,Region IV-A,Laguna,0403400000,,,,,,0.00193750,0.00000000
Pili,Region IV-A,Quezon,0405600000,,,,,,0.01683664,0.02200361
Pili,Region IV-A,Rizal,0405800000,,,,,,0.00017500,0.00010000
Pili,MIMAROPA,Marinduque,1704000000,,,,,,,
Pili,MIMAROPA,Occidental Mindoro,1705100000,,,,,,,
Pili,MIMAROPA,Oriental Mindoro,1705200000,,,,,,,
Pili,MIMAROPA,Palawan,1705300000,,,,,,0.00213198,0.00228426
Pili,MIMAROPA,Romblon,1705900000,,,,,,0.00875000,0.00125000
Pili,MIMAROPA,City of Puerto Princesa,1731500000,,,,,,,
